statistic,month_text,coicop_item,value
Consumer Price Index,2022 December,"Milk, cheese and eggs",99.1
Consumer Price Index,2022 December,Fresh whole milk,103.5
Consumer Price Index,2022 December,Yoghurt,94.8
Consumer Price Index,2022 December,Cheese and curd,97.6
Consumer Price Index,2022 December,Eggs,97.7
Consumer Price Index,2023 January,"Milk, cheese and eggs",99.3
Consumer Price Index,2023 January,Fresh whole milk,103.7
Consumer Price Index,2023 January,Yoghurt,95.5
Consumer Price Index,2023 January,Cheese and curd,97.3
Consumer Price Index,2023 January,Eggs,97.9
Consumer Price Index,2023 February,"Milk, cheese and eggs",100.2
Consumer Price Index,2023 February,Fresh whole milk,104.3
Consumer Price Index,2023 February,Yoghurt,98.1
Consumer Price Index,2023 February,Cheese and curd,97.9
Consumer Price Index,2023 February,Eggs,98.7
Consumer Price Index,2023 March,"Milk, cheese and eggs",101
Consumer Price Index,2023 March,Fresh whole milk,104.5
Consumer Price Index,2023 March,Yoghurt,99.2
Consumer Price Index,2023 March,Cheese and curd,99.4
Consumer Price Index,2023 March,Eggs,99
Consumer Price Index,2023 April,"Milk, cheese and eggs",101.4
Consumer Price Index,2023 April,Fresh whole milk,104.6
Consumer Price Index,2023 April,Yoghurt,100.5
Consumer Price Index,2023 April,Cheese and curd,99.1
Consumer Price Index,2023 April,Eggs,100.1
Consumer Price Index,2023 May,"Milk, cheese and eggs",100.3
Consumer Price Index,2023 May,Fresh whole milk,101.8
Consumer Price Index,2023 May,Yoghurt,99.9
Consumer Price Index,2023 May,Cheese and curd,98.2
Consumer Price Index,2023 May,Eggs,100.7
Consumer Price Index,2023 June,"Milk, cheese and eggs",100.2
Consumer Price Index,2023 June,Fresh whole milk,102.6
Consumer Price Index,2023 June,Yoghurt,99.6
Consumer Price Index,2023 June,Cheese and curd,98.2
Consumer Price Index,2023 June,Eggs,100.7
Consumer Price Index,2023 July,"Milk, cheese and eggs",99.8
Consumer Price Index,2023 July,Fresh whole milk,100.9
Consumer Price Index,2023 July,Yoghurt,100.4
Consumer Price Index,2023 July,Cheese and curd,98
Consumer Price Index,2023 July,Eggs,100.6
Consumer Price Index,2023 August,"Milk, cheese and eggs",99.6
Consumer Price Index,2023 August,Fresh whole milk,100.3
Consumer Price Index,2023 August,Yoghurt,99.6
Consumer Price Index,2023 August,Cheese and curd,99.4
Consumer Price Index,2023 August,Eggs,100
Consumer Price Index,2023 September,"Milk, cheese and eggs",99.4
Consumer Price Index,2023 September,Fresh whole milk,100.2
