statistic ,month_text,agricultural_product,value
Agricultural Input and Output Price Indices (Base 2020=100),2024 December,Compound feeding stuffs,121.86
Agricultural Input and Output Price Indices (Base 2020=100),2025 January,Milk,166.62
Agricultural Input and Output Price Indices (Base 2020=100),2025 January,Energy,154.32
Agricultural Input and Output Price Indices (Base 2020=100),2025 January,Fertilisers,140.71
Agricultural Input and Output Price Indices (Base 2020=100),2025 January,Compound feeding stuffs,122.44
Agricultural Input and Output Price Indices (Base 2020=100),2025 February,Milk,167.1
Agricultural Input and Output Price Indices (Base 2020=100),2025 February,Energy,155.67
Agricultural Input and Output Price Indices (Base 2020=100),2025 February,Fertilisers,144.38
Agricultural Input and Output Price Indices (Base 2020=100),2025 February,Compound feeding stuffs,122.87
Agricultural Input and Output Price Indices (Base 2020=100),2025 March,Milk,161.13
Agricultural Input and Output Price Indices (Base 2020=100),2025 March,Energy,152.49
Agricultural Input and Output Price Indices (Base 2020=100),2025 March,Fertilisers,153.08
Agricultural Input and Output Price Indices (Base 2020=100),2025 March,Compound feeding stuffs,123.22
Agricultural Input and Output Price Indices (Base 2020=100),2025 April,Milk,159.71
Agricultural Input and Output Price Indices (Base 2020=100),2025 April,Energy,150.47
Agricultural Input and Output Price Indices (Base 2020=100),2025 April,Fertilisers,157.4
Agricultural Input and Output Price Indices (Base 2020=100),2025 April,Compound feeding stuffs,123.23
Agricultural Input and Output Price Indices (Base 2020=100),2025 May,Milk,158.44
Agricultural Input and Output Price Indices (Base 2020=100),2025 May,Energy,146.64
Agricultural Input and Output Price Indices (Base 2020=100),2025 May,Fertilisers,156.51
Agricultural Input and Output Price Indices (Base 2020=100),2025 May,Compound feeding stuffs,123.7
Agricultural Input and Output Price Indices (Base 2020=100),2025 June,Milk,157.26
Agricultural Input and Output Price Indices (Base 2020=100),2025 June,Energy,146.05
Agricultural Input and Output Price Indices (Base 2020=100),2025 June,Fertilisers,154.73
Agricultural Input and Output Price Indices (Base 2020=100),2025 June,Compound feeding stuffs,123.62
Agricultural Input and Output Price Indices (Base 2020=100),2025 July,Milk,155.15
Agricultural Input and Output Price Indices (Base 2020=100),2025 July,Energy,151.03
Agricultural Input and Output Price Indices (Base 2020=100),2025 July,Fertilisers,156.81
Agricultural Input and Output Price Indices (Base 2020=100),2025 July,Compound feeding stuffs,123.55
